config_id,initial_temp,final_temp,alpha,max_iter,time,final_fitness,validity
cfg_001,100.0,0.001,0.9,5000,0.16,15.833333333333334,True
cfg_002,100.0,0.001,0.9,10000,0.24,17.333333333333336,True
cfg_003,100.0,0.001,0.9,50000,0.16,15.833333333333334,True
cfg_004,100.0,0.001,0.9,100000,0.18,15.833333333333334,True
cfg_005,100.0,0.001,0.9,250000,0.16,17.333333333333336,True
cfg_006,100.0,0.001,0.93,5000,0.21,17.333333333333336,True
cfg_007,100.0,0.001,0.93,10000,0.24,17.333333333333336,True
cfg_008,100.0,0.001,0.93,50000,0.21,17.333333333333336,True
cfg_009,100.0,0.001,0.93,100000,0.21,17.333333333333336,True
cfg_010,100.0,0.001,0.93,250000,0.23,17.333333333333336,True
cfg_011,100.0,0.001,0.95,5000,0.34,17.333333333333336,True
cfg_012,100.0,0.001,0.95,10000,0.34,17.333333333333336,True
cfg_013,100.0,0.001,0.95,50000,0.29,15.166666666666666,True
cfg_014,100.0,0.001,0.95,100000,0.31,17.333333333333336,True
cfg_015,100.0,0.001,0.95,250000,0.32,17.333333333333336,True
cfg_016,100.0,0.001,0.97,5000,0.58,15.833333333333334,True
cfg_017,100.0,0.001,0.97,10000,0.48,17.333333333333336,True
cfg_018,100.0,0.001,0.97,50000,0.58,15.833333333333334,True
cfg_019,100.0,0.001,0.97,100000,0.62,17.333333333333336,True
cfg_020,100.0,0.001,0.97,250000,0.63,17.333333333333336,True
cfg_021,100.0,0.001,0.98,5000,0.88,17.333333333333336,True
cfg_022,100.0,0.001,0.98,10000,0.77,17.333333333333336,True
cfg_023,100.0,0.001,0.98,50000,0.86,17.333333333333336,True
cfg_024,100.0,0.001,0.98,100000,0.79,17.333333333333336,True
cfg_025,100.0,0.001,0.98,250000,0.92,17.333333333333336,True
cfg_026,100.0,0.001,0.99,5000,1.8,17.333333333333336,True
cfg_027,100.0,0.001,0.99,10000,1.61,17.333333333333336,True
cfg_028,100.0,0.001,0.99,50000,1.57,17.333333333333336,True
cfg_029,100.0,0.001,0.99,100000,1.77,17.333333333333336,True
cfg_030,100.0,0.001,0.99,250000,1.77,17.333333333333336,True
cfg_031,100.0,0.001,0.995,5000,3.23,17.333333333333336,True
cfg_032,100.0,0.001,0.995,10000,3.86,17.333333333333336,True
cfg_033,100.0,0.001,0.995,50000,3.53,17.333333333333336,True
cfg_034,100.0,0.001,0.995,100000,3.23,17.333333333333336,True
cfg_035,100.0,0.001,0.995,250000,3.37,17.333333333333336,True
cfg_036,100.0,0.001,0.999,5000,8.55,17.333333333333336,True
cfg_037,100.0,0.001,0.999,10000,14.92,17.333333333333336,True
cfg_038,100.0,0.001,0.999,50000,16.9,17.333333333333336,True
cfg_039,100.0,0.001,0.999,100000,18.43,17.333333333333336,True
cfg_040,100.0,0.001,0.999,250000,16.66,17.333333333333336,True
cfg_041,100.0,0.01,0.9,5000,0.16,17.333333333333336,True
cfg_042,100.0,0.01,0.9,10000,0.14,17.333333333333336,True
cfg_043,100.0,0.01,0.9,50000,0.14,15.833333333333334,True
cfg_044,100.0,0.01,0.9,100000,0.14,15.833333333333334,True
cfg_045,100.0,0.01,0.9,250000,0.14,17.333333333333336,True
cfg_046,100.0,0.01,0.93,5000,0.23,15.833333333333334,True
cfg_047,100.0,0.01,0.93,10000,0.2,17.333333333333336,True
cfg_048,100.0,0.01,0.93,50000,0.23,15.833333333333334,True
cfg_049,100.0,0.01,0.93,100000,0.22,17.333333333333336,True
cfg_050,100.0,0.01,0.93,250000,0.21,17.333333333333336,True
cfg_051,100.0,0.01,0.95,5000,0.4,17.333333333333336,True
cfg_052,100.0,0.01,0.95,10000,0.31,15.833333333333334,True
cfg_053,100.0,0.01,0.95,50000,0.25,17.333333333333336,True
cfg_054,100.0,0.01,0.95,100000,0.29,15.833333333333334,True
cfg_055,100.0,0.01,0.95,250000,0.23,17.333333333333336,True
cfg_056,100.0,0.01,0.97,5000,0.5,17.333333333333336,True
cfg_057,100.0,0.01,0.97,10000,0.57,17.333333333333336,True
cfg_058,100.0,0.01,0.97,50000,0.53,17.333333333333336,True
cfg_059,100.0,0.01,0.97,100000,0.43,17.333333333333336,True
cfg_060,100.0,0.01,0.97,250000,0.47,17.333333333333336,True
cfg_061,100.0,0.01,0.98,5000,0.66,17.333333333333336,True
