config_id,W_FREE_DAY,W_SLOT_EVE,W_SLOT_DAY,W_WINDSOWS,W_SLOT2,time,final_fitness,total,conflictos,validity
cfg_001,0.1,0.5,0.1,0.5,0.1,0.14,43.94000000000001,53.0,1.0,True
cfg_002,0.1,0.5,0.1,0.5,0.25,0.14,43.94000000000001,53.0,1.0,True
cfg_003,0.1,0.5,0.1,0.5,0.4,0.15,47.009999999999984,53.0,0.0,True
cfg_004,0.1,0.5,0.1,0.5,0.5499999999999999,0.14,47.009999999999984,53.0,0.0,True
cfg_005,0.1,0.5,0.1,0.5,0.7,0.14,47.009999999999984,53.0,0.0,True
cfg_006,0.1,0.5,0.1,0.5,0.85,0.14,47.009999999999984,53.0,0.0,True
cfg_007,0.1,0.5,0.1,0.5,1.0,0.15,43.94000000000001,53.0,1.0,True
cfg_008,0.1,0.5,0.1,0.5833333333333334,0.1,0.16,44.117777777777775,53.0,1.0,True
cfg_009,0.1,0.5,0.1,0.5833333333333334,0.25,0.14,44.117777777777775,53.0,1.0,True
cfg_010,0.1,0.5,0.1,0.5833333333333334,0.4,0.14,44.117777777777775,53.0,1.0,True
cfg_011,0.1,0.5,0.1,0.5833333333333334,0.5499999999999999,0.14,42.85666666666667,53.0,1.0,True
cfg_012,0.1,0.5,0.1,0.5833333333333334,0.7,0.16,46.30166666666664,53.0,0.0,True
cfg_013,0.1,0.5,0.1,0.5833333333333334,0.85,0.15,46.30166666666664,53.0,0.0,True
cfg_014,0.1,0.5,0.1,0.5833333333333334,1.0,0.14,46.30166666666664,53.0,0.0,True
cfg_015,0.1,0.5,0.1,0.6666666666666666,0.1,0.14,45.59333333333331,53.0,0.0,True
cfg_016,0.1,0.5,0.1,0.6666666666666666,0.25,0.15,43.228888888888875,53.0,1.0,True
cfg_017,0.1,0.5,0.1,0.6666666666666666,0.4,0.15,42.33333333333333,53.0,8.0,True
cfg_018,0.1,0.5,0.1,0.6666666666666666,0.5499999999999999,0.15,45.59333333333331,53.0,0.0,True
