config_id,W_FREE_DAY,W_SLOT,W_WINDSOWS,W_SLOT2,time,final_fitness,total,conflictos,validity
cfg_001,0.0,0.0,0.0,0.0,0.15,53.0,53.0,0.0,True
cfg_002,0.0,0.0,0.0,0.1111111111111111,0.14,53.0,53.0,0.0,True
cfg_003,0.0,0.0,0.0,0.2222222222222222,0.14,53.0,53.0,0.0,True
cfg_004,0.0,0.0,0.0,0.3333333333333333,0.16,53.0,53.0,0.0,True
cfg_005,0.0,0.0,0.0,0.4444444444444444,0.16,53.0,53.0,0.0,True
cfg_006,0.0,0.0,0.0,0.5555555555555556,0.14,53.0,53.0,0.0,True
cfg_007,0.0,0.0,0.0,0.6666666666666666,0.16,53.0,53.0,0.0,True
cfg_008,0.0,0.0,0.0,0.7777777777777777,0.15,53.0,53.0,0.0,True
cfg_009,0.0,0.0,0.0,0.8888888888888888,0.14,53.0,53.0,0.0,True
cfg_010,0.0,0.0,0.0,1.0,0.16,53.0,53.0,0.0,True
cfg_011,0.0,0.0,0.1111111111111111,0.0,0.17,50.88888888888885,53.0,0.0,True
cfg_012,0.0,0.0,0.1111111111111111,0.1111111111111111,0.15,52.05555555555554,53.0,0.0,True
cfg_013,0.0,0.0,0.1111111111111111,0.2222222222222222,0.14,52.05555555555554,53.0,0.0,True
cfg_014,0.0,0.0,0.1111111111111111,0.3333333333333333,0.15,52.05555555555554,53.0,0.0,True
cfg_015,0.0,0.0,0.1111111111111111,0.4444444444444444,0.16,52.05555555555554,53.0,0.0,True
cfg_016,0.0,0.0,0.1111111111111111,0.5555555555555556,0.16,52.05555555555554,53.0,0.0,True
cfg_017,0.0,0.0,0.1111111111111111,0.6666666666666666,0.15,51.12962962962962,53.0,0.0,True
cfg_018,0.0,0.0,0.1111111111111111,0.7777777777777777,0.14,52.05555555555554,53.0,0.0,True
cfg_019,0.0,0.0,0.1111111111111111,0.8888888888888888,0.15,52.05555555555554,53.0,0.0,True
cfg_020,0.0,0.0,0.1111111111111111,1.0,0.18,50.88888888888885,53.0,0.0,True
cfg_021,0.0,0.0,0.2222222222222222,0.0,0.13,51.111111111111114,53.0,0.0,True
cfg_022,0.0,0.0,0.2222222222222222,0.1111111111111111,0.16,51.111111111111114,53.0,0.0,True
cfg_023,0.0,0.0,0.2222222222222222,0.2222222222222222,0.16,51.111111111111114,53.0,0.0,True
cfg_024,0.0,0.0,0.2222222222222222,0.3333333333333333,0.15,49.25925925925924,53.0,0.0,True
cfg_025,0.0,0.0,0.2222222222222222,0.4444444444444444,0.15,51.111111111111114,53.0,0.0,True
cfg_026,0.0,0.0,0.2222222222222222,0.5555555555555556,0.15,51.111111111111114,53.0,0.0,True
cfg_027,0.0,0.0,0.2222222222222222,0.6666666666666666,0.14,51.111111111111114,53.0,0.0,True
cfg_028,0.0,0.0,0.2222222222222222,0.7777777777777777,0.14,49.25925925925924,53.0,0.0,True
cfg_029,0.0,0.0,0.2222222222222222,0.8888888888888888,0.15,51.111111111111114,53.0,0.0,True
cfg_030,0.0,0.0,0.2222222222222222,1.0,0.14,48.777777777777736,53.0,0.0,True
cfg_031,0.0,0.0,0.3333333333333333,0.0,0.16,50.16666666666666,53.0,0.0,True
cfg_032,0.0,0.0,0.3333333333333333,0.1111111111111111,0.14,50.16666666666666,53.0,0.0,True
