config_id,initial_temp,final_temp,alpha,max_iter,time,final_fitness,validity
cfg_001,0.1,1e-06,0.85,1000.0,0.13,15.700000000000001,True
cfg_002,0.1,1e-06,0.85,5000.0,0.12,15.700000000000001,True
cfg_003,0.1,1e-06,0.85,10000.0,0.12,15.700000000000001,True
cfg_004,0.1,1e-06,0.85,50000.0,0.09,13.9,True
cfg_005,0.1,1e-06,0.85,100000.0,0.1,16.299999999999997,True
cfg_006,0.1,1e-06,0.85,500000.0,0.1,15.700000000000001,True
cfg_007,0.1,1e-06,0.9,1000.0,0.16,15.700000000000001,True
cfg_008,0.1,1e-06,0.9,5000.0,0.17,15.700000000000001,True
cfg_009,0.1,1e-06,0.9,10000.0,0.14,16.299999999999997,True
cfg_010,0.1,1e-06,0.9,50000.0,0.16,15.700000000000001,True
cfg_011,0.1,1e-06,0.9,100000.0,0.13,13.9,True
cfg_012,0.1,1e-06,0.9,500000.0,0.19,15.700000000000001,True
cfg_013,0.1,1e-06,0.93,1000.0,0.2,16.299999999999997,True
cfg_014,0.1,1e-06,0.93,5000.0,0.23,15.700000000000001,True
cfg_015,0.1,1e-06,0.93,10000.0,0.25,15.700000000000001,True
cfg_016,0.1,1e-06,0.93,50000.0,0.24,16.299999999999997,True
cfg_017,0.1,1e-06,0.93,100000.0,0.21,16.299999999999997,True
cfg_018,0.1,1e-06,0.93,500000.0,0.23,15.700000000000001,True
cfg_019,0.1,1e-06,0.95,1000.0,0.34,15.700000000000001,True
cfg_020,0.1,1e-06,0.95,5000.0,0.35,15.700000000000001,True
cfg_021,0.1,1e-06,0.95,10000.0,0.3,16.299999999999997,True
cfg_022,0.1,1e-06,0.95,50000.0,0.29,16.299999999999997,True
cfg_023,0.1,1e-06,0.95,100000.0,0.32,16.299999999999997,True
cfg_024,0.1,1e-06,0.95,500000.0,0.31,16.299999999999997,True
cfg_025,0.1,1e-06,0.97,1000.0,0.52,16.299999999999997,True
cfg_026,0.1,1e-06,0.97,5000.0,0.54,15.700000000000001,True
cfg_027,0.1,1e-06,0.97,10000.0,0.59,15.700000000000001,True
cfg_028,0.1,1e-06,0.97,50000.0,0.55,15.700000000000001,True
cfg_029,0.1,1e-06,0.97,100000.0,0.6,15.700000000000001,True
cfg_030,0.1,1e-06,0.97,500000.0,0.55,15.700000000000001,True
cfg_031,0.1,1e-06,0.99,1000.0,1.53,15.700000000000001,True
cfg_032,0.1,1e-06,0.99,5000.0,1.7,15.700000000000001,True
cfg_033,0.1,1e-06,0.99,10000.0,1.19,13.9,True
cfg_034,0.1,1e-06,0.99,50000.0,1.83,15.700000000000001,True
cfg_035,0.1,1e-06,0.99,100000.0,1.8,15.700000000000001,True
cfg_036,0.1,1e-06,0.99,500000.0,1.44,16.299999999999997,True
cfg_037,0.1,1e-06,0.995,1000.0,1.52,15.700000000000001,True
cfg_038,0.1,1e-06,0.995,5000.0,3.46,15.700000000000001,True
cfg_039,0.1,1e-06,0.995,10000.0,2.38,13.9,True
cfg_040,0.1,1e-06,0.995,50000.0,3.54,15.700000000000001,True
cfg_041,0.1,1e-06,0.995,100000.0,3.53,15.700000000000001,True
cfg_042,0.1,1e-06,0.995,500000.0,3.49,15.700000000000001,True
cfg_043,0.1,0.0001,0.85,1000.0,0.07,13.700000000000003,True
cfg_044,0.1,0.0001,0.85,5000.0,0.07,15.700000000000001,True
